Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
1,Soluk 1993 ECOLOGY,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,4.96E+00,Alternate species length,2,m^2.5 per pred per day,1,200,0.18,143.68,3.13E-02,1.43E-02,1.00E-01,2.65E-02,1.75E-02,3.77E-02,
2,Soluk 1993 ECOLOGY,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,6.66E+00,Alternate species length,2,m^2.5 per pred per day,2,200,0.09,129.24,5.78E-03,1.45E-03,3.55E-02,9.85E-02,3.77E-07,1.75E-01,
3,Hassanpour et al 2011 INS SCI,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2.0,Raw data,N,12,26.0,,1,1.96E+01,,4.61E-03,Alternate species length,4,2.05E-03,Alternate species length,2,m^2 per pred per day,3,200,0.96,48.45,1.02E-02,9.08E-03,1.17E-02,2.35E-02,1.91E-02,2.65E-02,
4,Hassanpour et al 2011 INS SCI,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2.0,Raw data,N,12,26.0,,1,1.96E+01,,2.49E+00,% adult mass,5,2.05E-03,Alternate species length,2,m^2 per pred per day,4,200,0.94,216.63,9.05E-03,7.47E-03,1.07E-02,5.62E-03,3.84E-03,6.60E-03,
5,Hassanpour et al 2011 INS SCI,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2.0,Raw data,N,12,26.0, ,1,1.96E+01,,4.61E-03,Alternate species length,4,9.42E-03,% adult mass,3,m^2 per pred per day,5,200,0.86,85.84,8.54E-03,5.79E-03,1.10E-02,2.46E-02,1.69E-02,3.02E-02,
6,Hassanpour et al 2011 INS SCI,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2.0,Raw data,N,12,26.0,,1,1.96E+01,,2.49E+00,% adult mass,5,9.42E-03,% adult mass,3,m^2 per pred per day,6,200,0.95,137.28,1.19E-02,1.02E-02,1.38E-02,7.46E-03,6.67E-03,8.31E-03,
7,Parajulee 2006 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2.0,Mean,N,,29.0,,1,7.85E+01,,2.05E+01,% adult mass,4,2.68E-03,Alternate species length,1,m^2 per pred per day,7,200,0.49,199.40,2.42E-02,1.56E-02,3.47E-02,9.82E-03,6.09E-03,1.48E-02,
8,Parajulee 2006 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2.0,Mean,N,,29.0,,1,7.85E+01,,1.69E+00,Alternate species length,1,2.68E-03,Alternate species length,1,m^2 per pred per day,8,200,0.34,136.49,1.90E-02,9.01E-03,3.72E-02,9.95E-03,4.20E-09,2.15E-02,
9,Enkegaard et al 2001 ENTO EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,2.0,Mean,N,23,22.0,,1,5.82E+01,,2.24E+00,Alternate species length,1,4.12E-04,Alternate species length,3,m^2 per pred per day,9,200,0.41,876.61,2.38E-03,1.99E-03,3.10E-03,7.30E-04,9.59E-10,1.00E-02,
10,Sepulveda and Carrillo 2008 REV BIO TROP,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,3.0,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,2.0,Mean,N,24,20.0,,1,3.14E+00,,6.13E-02,Alternate order mass,1,2.53E-02,Alternate species length,1,m^2 per pred per day,10,200,0.20,336.36,1.16E-04,6.46E-05,1.84E-04,1.65E-01,8.92E-02,2.51E-01,
11,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,11,200,0.75,92.29,7.41E-03,6.17E-03,8.82E-03,3.85E-02,3.20E-02,4.50E-02,24 hr trial
12,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,12,200,0.80,43.38,2.50E-03,2.15E-03,2.86E-03,2.27E-02,7.66E-03,3.61E-02,24 hr trial
13,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,13,200,0.75,45.44,2.82E-03,2.27E-03,3.67E-03,3.84E-02,1.72E-02,5.83E-02,24 hr trial
