predator,alpha,beta,gama,r2
P. onca,-2.63934552690712,-3.08932316769808,-0.493211737647861,0.93434882559828
P. concolor,-1.13229004977871,-1.28658909187646,-0.22500654438883,0.593182769832479
L. pardalis,-0.904094001815544,-1.61149296347743,-0.201734457411854,0.803755364058849
P. yagouaroundi,-2.78341017456312,-1.31059360239815,-0.128345951867062,0.747824836820725
L.colocolo,-0.179214828025977,-1.18314489142681,-0.22034474692681,0.655715498286223
L. wiedii,-0.932505188730546,-2.03601979821827,-0.283135664339272,0.967360484316199
L.geoffroyi,-0.273400839714981,-1.1494653047805,-0.207687685106613,0.69179325797825
L. guttulus,-4.50168704981897,-3.11868098713621,-0.392839625719523,0.867845667123164
C. brachyurus,-2.80575559611389,-1.04896225121295,-0.0535284332751482,0.8500596931107
L. culpaeus,-1.54748170441484,-0.98964726258024,-0.112393662004802,0.532713315636146
C. thous,-4.3732386764966,-0.466649737193232,0.0848872249294436,0.944736898128301
P. cancrivorus,-5.66363146268091,-0.265945274999334,0.161473281594006,0.953356152015642
General,-1.64715006983955,-17.9954347155016,-14.532327424871,0.500909364009065
Felidae,-1.12343593276787,-1.3818509192398,-0.201892408656458,0.653753528337568
Non-Felidae,-2.83604355626182,-0.675688080618322,-0.013123175509705,0.657584441255024
